employee_id,age,department,work_mode,tenure_months,monthly_salary,months_since_last_hike,productivity_score,leaves_last_90_days,manager_change_count,performance_rating,Attrition
152,59,Engineering,Onsite,149,194658,9,7.28,1,0,1,0
153,26,Engineering,Remote,46,40360,12,1.47,2,0,3,0
154,28,Engineering,Remote,144,51424,22,5.81,0,1,3,1
155,47,Marketing,Onsite,16,128035,22,3.71,0,0,4,0
156,29,Finance,Remote,120,78791,30,3.56,4,1,5,1
157,57,Finance,Hybrid,84,164137,3,4.51,3,1,5,0
158,53,Finance,Remote,157,42300,2,1.01,0,0,1,0
159,44,Support,Onsite,8,63370,20,5.2,0,0,2,1
160,35,Finance,Onsite,88,57209,1,5.38,3,0,5,0
161,52,Support,Hybrid,131,50927,3,8.77,2,1,2,1
162,52,Engineering,Onsite,19,64579,0,5.04,4,1,1,0
163,44,Engineering,Onsite,97,39032,14,4.27,4,1,2,0
164,32,Marketing,Hybrid,66,123254,32,9.95,1,0,3,0
165,59,Engineering,Remote,79,108413,5,6.14,0,0,3,0
166,22,Marketing,Hybrid,86,143528,6,5.25,3,1,1,0
167,23,Sales,Remote,124,153916,18,5.46,3,0,2,0
168,57,Sales,Hybrid,150,102302,0,8.28,1,1,2,0
169,37,HR,Remote,46,115757,18,4.07,1,0,1,0
170,22,Marketing,Hybrid,113,186174,25,4.5,4,0,5,0
171,22,HR,Remote,91,195505,11,7.8,2,1,4,0
172,48,HR,Hybrid,141,45932,21,1.66,1,0,5,0
173,43,Sales,Remote,33,55714,12,8.79,1,3,4,0
174,57,Marketing,Hybrid,133,87803,27,4.87,1,1,2,0
175,52,Sales,Onsite,77,163624,13,6.23,3,1,4,1
176,53,HR,Remote,155,86627,21,7.82,1,1,4,0
177,21,Marketing,Hybrid,121,109810,29,3.39,2,0,2,1
178,39,HR,Remote,128,75380,19,9.01,2,1,3,0
179,22,Finance,Remote,78,190322,26,9.81,1,0,4,0
180,46,Marketing,Hybrid,152,94686,33,5.45,2,0,1,1
181,52,Marketing,Remote,67,150321,0,9.43,1,1,5,0
182,26,HR,Hybrid,115,75028,14,1.01,0,1,2,0
183,52,Finance,Onsite,63,176367,31,9.05,0,1,2,1
184,24,Support,Remote,113,143141,7,3.8,5,1,4,0
185,31,Sales,Onsite,94,85248,32,3.8,1,0,3,1
186,37,HR,Remote,48,40523,17,3.05,0,2,3,0
187,58,Marketing,Remote,12,75530,28,3.85,5,0,5,0
188,44,Sales,Remote,156,43769,31,2.92,2,2,5,0
189,25,Sales,Hybrid,172,142035,32,9.15,2,0,3,0
190,54,Sales,Onsite,171,186629,4,9.09,3,0,3,0
191,26,Support,Remote,145,109782,17,1.92,2,1,3,0
192,42,Engineering,Hybrid,40,108382,9,2.29,0,4,4,1
193,31,HR,Remote,177,198157,35,8.76,1,0,1,1
194,36,Engineering,Hybrid,85,140939,32,4.59,2,1,5,0
195,53,Engineering,Remote,57,174542,22,2.52,0,0,2,0
196,29,Engineering,Onsite,87,108712,4,5.6,0,0,3,0
197,26,Sales,Onsite,84,148643,33,4.75,0,2,3,0
198,36,Finance,Remote,121,137417,23,2.97,1,0,1,1
199,49,Sales,Hybrid,74,167877,16,7.49,2,0,3,0
200,23,Sales,Remote,107,158256,30,6.68,2,1,5,0
201,40,Marketing,Hybrid,124,131422,6,1.9,1,3,3,0
202,56,Marketing,Remote,100,119300,16,9.33,0,2,1,0
203,39,Engineering,Hybrid,43,36630,27,6.03,3,0,4,0
204,46,Sales,Onsite,119,154474,21,3.25,3,1,5,0
205,23,Engineering,Remote,23,128869,14,2.86,3,0,4,0
206,39,Marketing,Onsite,155,45701,14,2.22,1,2,2,0
207,40,Finance,Onsite,37,175931,24,4.82,2,0,1,0
208,52,HR,Remote,134,182255,20,2.22,1,0,2,1
209,27,Engineering,Remote,65,127285,1,4.74,2,0,2,0
210,53,Finance,Hybrid,134,147556,26,2.34,2,1,2,0
211,59,HR,Hybrid,178,45021,31,6.91,1,1,2,1
212,38,Support,Onsite,22,94361,20,8.07,0,0,1,0
213,21,Engineering,Hybrid,105,162317,3,5.95,0,1,4,0
214,31,Engineering,Hybrid,88,40355,18,7.12,3,0,3,0
215,48,Support,Remote,153,128841,1,9.45,2,2,2,0
216,45,Support,Hybrid,125,190786,25,6.75,0,0,3,0
217,43,Engineering,Onsite,79,47198,33,4.28,1,0,3,1
218,51,Support,Hybrid,90,96951,13,5.05,0,2,2,1
219,50,Sales,Onsite,51,162724,14,8.74,1,0,5,0
220,55,HR,Remote,176,48740,19,2.18,2,1,3,0
221,27,HR,Onsite,102,33810,33,3.93,1,4,5,1
222,36,HR,Hybrid,106,153743,35,6.2,3,0,4,0
223,46,Sales,Remote,60,177641,18,7.09,3,1,3,0
224,22,Support,Hybrid,46,129855,8,7.87,3,0,1,0
225,21,Finance,Remote,36,56783,6,3.86,1,0,4,0
226,32,Support,Remote,166,151701,29,2.31,2,0,4,0
227,25,Engineering,Hybrid,11,108047,12,9.59,2,0,5,0
228,57,Marketing,Hybrid,12,39471,26,1.69,1,1,2,1
229,52,HR,Remote,170,140771,34,1.86,1,0,1,0
230,29,Support,Remote,39,36163,12,5.45,0,0,1,0
231,55,Finance,Hybrid,139,92071,14,8.37,1,0,5,0
232,39,Engineering,Onsite,36,46065,8,7.97,0,1,5,0
233,36,Sales,Hybrid,52,152323,22,9.44,1,0,4,0
234,23,Sales,Remote,31,147969,35,2.27,0,0,5,0
235,40,Finance,Hybrid,33,113456,2,4.38,3,1,2,0
236,44,Engineering,Onsite,141,49154,33,3.54,3,0,4,1
237,53,HR,Hybrid,146,135703,18,8.75,3,0,4,0
238,44,Support,Remote,169,50229,27,5.4,1,0,4,0
239,31,Engineering,Hybrid,58,82587,22,1.24,0,0,1,1
240,28,Sales,Remote,152,79713,6,7.37,2,1,1,0
241,56,Finance,Remote,128,188069,11,4.5,2,1,4,0
242,58,Finance,Hybrid,31,51101,13,5.78,1,0,2,0
243,40,Support,Remote,55,70391,14,9.04,2,1,3,1
244,55,Finance,Remote,10,102723,2,3.31,1,1,4,1
245,45,Finance,Onsite,130,196020,14,3.16,6,1,5,1
246,55,Engineering,Onsite,15,130264,23,3.37,0,0,3,0
247,45,HR,Onsite,3,67921,7,4.04,0,0,1,0
248,49,Support,Onsite,43,58460,4,1.97,1,0,1,0
249,38,Engineering,Remote,159,182143,3,7.27,3,0,3,0
250,38,HR,Hybrid,67,121725,13,2.87,1,0,5,1
251,22,Engineering,Remote,56,88445,15,9.34,2,0,1,0
252,55,Marketing,Remote,63,112208,19,2.94,3,0,1,0
253,36,Engineering,Remote,15,136283,23,3.3,1,2,4,1
254,56,Finance,Hybrid,109,115779,5,3.67,2,1,2,1
255,53,HR,Onsite,116,33060,30,7.92,1,0,5,0
256,24,Support,Remote,92,155806,5,4.85,2,0,4,0
257,53,Support,Remote,138,43731,34,8.37,5,1,2,1
258,34,HR,Onsite,166,107830,14,8.06,0,0,1,1
259,41,Finance,Remote,47,145871,28,9.37,2,1,2,1
260,40,Sales,Hybrid,57,50719,2,7.81,3,1,1,0
261,28,Engineering,Remote,50,79116,10,1.47,0,1,4,1
262,27,Finance,Remote,71,56325,2,8.54,1,3,1,0
263,23,Marketing,Onsite,143,183669,27,9.44,4,1,2,0
264,37,HR,Remote,146,44551,9,9.94,1,0,4,0
265,53,Engineering,Remote,82,123287,32,2.13,2,1,2,0
266,32,Support,Hybrid,116,54278,15,6.52,3,0,2,0
267,42,Sales,Onsite,105,45141,9,2.8,1,0,3,0
268,42,Marketing,Onsite,88,97913,32,3.36,1,0,1,1
269,50,Support,Hybrid,2,63615,35,7.71,1,0,1,0
270,58,HR,Remote,104,152058,2,9.8,1,0,2,0
271,58,Engineering,Onsite,84,142684,4,6.35,2,0,1,0
272,28,HR,Onsite,43,57452,11,8.66,2,1,5,0
273,47,Engineering,Remote,154,183797,12,1.08,0,0,1,0
274,47,Finance,Remote,71,80391,23,1.33,3,1,4,1
275,54,Sales,Onsite,166,150288,31,6.37,4,0,1,0
276,41,Finance,Remote,94,143535,15,4.5,2,0,5,0
277,50,Finance,Onsite,42,172770,31,9.01,1,0,2,0
278,53,HR,Remote,133,116711,35,3.72,0,1,1,1
279,48,Sales,Remote,139,107850,20,4.89,1,0,4,1
280,53,Engineering,Hybrid,65,139733,11,5.75,5,0,5,1
281,25,Engineering,Remote,34,32365,20,3.46,1,1,3,1
282,39,Marketing,Hybrid,120,127662,20,9.18,2,0,2,0
283,24,Support,Remote,1,73372,5,5.18,2,2,2,1
284,55,Marketing,Onsite,130,74134,8,4.82,1,0,2,0
285,37,Marketing,Onsite,148,67823,0,8.65,3,0,5,0
286,48,Engineering,Remote,61,101158,11,3.81,3,0,1,0
287,50,HR,Remote,149,126076,13,8.36,3,1,1,0
288,49,Finance,Onsite,88,163021,5,2.1,2,1,1,1
289,26,Finance,Remote,68,79396,0,2.65,5,0,1,0
290,55,Finance,Hybrid,127,138336,21,9.56,2,0,2,0
291,57,Sales,Hybrid,140,61912,33,8.58,1,0,3,1
292,44,Engineering,Hybrid,22,86947,10,4.49,0,0,2,1
293,49,HR,Hybrid,148,74387,2,6.75,1,3,3,0
294,51,Sales,Hybrid,82,46508,5,9.49,2,1,3,0
295,55,Support,Remote,129,75592,5,2.91,1,0,1,0
296,53,HR,Remote,30,139249,19,1.53,3,1,4,0
297,41,Marketing,Hybrid,126,31919,20,5.84,0,0,5,0
298,52,HR,Remote,97,72595,1,2.28,1,2,4,0
299,43,HR,Remote,24,170689,25,2.69,1,0,3,0
300,53,Finance,Hybrid,14,63298,30,9.02,1,0,4,0
301,23,HR,Remote,36,168001,25,1.07,2,0,3,1
302,38,Marketing,Remote,24,44456,31,8.35,2,0,2,0
303,45,Marketing,Remote,95,139599,9,5.65,1,1,2,1
304,51,Engineering,Hybrid,55,116676,22,6.03,1,0,1,1
305,23,HR,Remote,24,113721,5,7.05,1,1,5,0
306,44,Finance,Onsite,152,67924,22,4.88,1,1,2,0
307,52,HR,Onsite,26,54240,27,2.04,1,1,5,1
308,42,Support,Hybrid,80,117381,29,1.93,4,0,1,1
309,43,Support,Onsite,166,39228,13,7.79,0,0,5,0
310,22,Finance,Hybrid,65,51686,31,2.99,1,1,2,1
311,47,Engineering,Onsite,75,41920,33,1.25,2,0,2,1
312,22,Engineering,Onsite,179,37432,21,9.82,2,1,4,0
313,46,Marketing,Onsite,163,140507,30,9.82,1,3,4,0
314,37,Marketing,Hybrid,43,160509,6,4.4,3,0,4,0
315,53,Sales,Hybrid,29,101725,20,1.23,1,1,5,0
316,29,Finance,Remote,165,194982,15,7.55,3,0,2,0
317,59,HR,Hybrid,81,151764,19,8.48,1,0,1,0
318,49,Finance,Onsite,54,191298,18,2.13,0,0,3,0
319,46,Sales,Onsite,39,89099,31,2.22,2,0,2,0
320,55,Marketing,Hybrid,42,142557,14,8.4,4,3,4,1
321,45,Finance,Hybrid,156,116760,4,9.3,5,0,4,0
322,44,Finance,Hybrid,29,48013,10,8.12,2,1,5,0
323,33,Marketing,Remote,171,51446,14,2.81,2,2,4,0
324,27,Sales,Onsite,131,135209,28,4.7,0,0,5,0
325,56,Marketing,Remote,138,132261,3,6.41,0,0,1,0
326,40,Engineering,Remote,142,125739,35,2.44,3,0,4,0
327,21,HR,Onsite,175,30557,22,2.9,3,0,5,0
328,28,Marketing,Onsite,42,191738,14,3.55,2,1,4,0
329,36,Sales,Hybrid,94,198461,2,5.59,1,0,5,0
330,34,Support,Hybrid,160,160878,31,5.6,3,1,2,1
331,32,Engineering,Remote,32,129143,9,8.33,2,1,5,0
332,43,Support,Hybrid,170,54578,21,7.78,3,3,3,0
333,35,Marketing,Hybrid,160,104779,13,9.22,1,0,1,0
334,48,Engineering,Onsite,26,170668,16,8.5,3,2,2,0
335,54,HR,Onsite,115,87500,20,3.28,4,0,1,0
336,22,Marketing,Hybrid,129,102534,14,3.98,2,0,2,1
337,52,HR,Onsite,56,40129,14,5.5,1,1,4,0
338,43,Finance,Hybrid,122,41596,0,1.13,1,0,5,0
339,42,Support,Onsite,106,95355,23,9.14,0,0,4,1
340,45,Engineering,Onsite,130,42974,11,1.4,3,1,1,1
341,42,HR,Onsite,81,142004,9,3.9,5,0,1,0
342,42,Sales,Onsite,158,156794,30,6.12,3,0,2,1
343,26,HR,Hybrid,120,100202,10,5.66,0,0,1,1
344,35,Sales,Remote,52,104442,15,6.89,0,1,5,0
345,57,Marketing,Onsite,91,182890,8,5.75,3,0,1,0
346,53,Engineering,Hybrid,137,85598,13,3.06,2,0,4,0
347,28,HR,Hybrid,22,163726,18,2.81,0,0,5,0
348,25,HR,Onsite,34,63758,30,9.17,1,0,1,1
349,59,Engineering,Remote,110,54204,8,3.38,1,2,3,1
350,24,HR,Onsite,49,157309,35,3.53,3,0,3,0
351,26,Sales,Hybrid,129,196000,25,4.72,5,0,4,0
352,52,HR,Remote,73,60552,7,2.25,3,1,2,0
353,50,Support,Hybrid,84,171408,23,5.57,3,0,2,1
354,55,Marketing,Onsite,53,77037,7,6.99,1,1,1,0
355,36,Finance,Remote,100,177278,18,8.07,1,0,5,1
356,33,Sales,Hybrid,124,64831,29,7.4,2,0,2,1
357,50,Support,Hybrid,168,73563,21,2.33,1,0,3,1
358,39,Marketing,Hybrid,45,48361,8,5.1,2,2,2,0
359,37,Engineering,Onsite,137,71335,3,1.35,2,0,3,0
360,39,Sales,Remote,105,104469,7,1.16,1,0,2,0
361,48,Finance,Onsite,150,55816,0,4.96,5,0,4,1
362,46,Marketing,Onsite,146,176691,27,3.28,1,0,5,0
363,57,Finance,Onsite,106,122479,5,7.15,1,1,1,0
364,46,Engineering,Remote,43,56819,35,7.52,4,0,3,1
365,43,Engineering,Onsite,167,172813,10,9.06,1,0,2,0
366,29,Sales,Onsite,134,152330,4,7.85,0,0,1,0
367,32,HR,Onsite,48,38798,23,1.43,1,0,3,1
368,21,Engineering,Onsite,126,186215,17,4.34,3,0,3,0
369,21,Marketing,Hybrid,7,79695,19,3.46,5,1,4,0
370,54,HR,Onsite,16,193819,27,4.48,5,1,2,1
371,52,Support,Hybrid,129,159544,12,2.44,2,0,1,0
372,45,Finance,Onsite,115,182254,4,1.88,4,1,2,0
373,21,HR,Remote,37,39415,29,5.69,1,1,2,0
374,36,Finance,Hybrid,165,172157,0,7.48,3,2,5,0
375,59,HR,Hybrid,125,176080,21,7.32,3,1,3,0
376,25,Support,Hybrid,81,117638,17,5.06,2,0,3,0
377,42,Engineering,Hybrid,62,48452,4,5.7,2,2,5,0
378,49,Support,Remote,72,169192,30,5.65,1,1,5,0
379,23,Engineering,Onsite,125,140205,5,7.22,4,1,2,0
380,32,Engineering,Hybrid,161,48170,26,1.43,3,0,3,0
381,46,Finance,Remote,66,46259,24,7.39,1,0,1,0
382,36,Marketing,Hybrid,30,52099,28,6.24,2,0,4,0
383,57,Support,Onsite,20,170721,27,2.78,1,1,5,1
384,42,HR,Hybrid,82,159394,15,1.44,1,2,1,0
385,49,Support,Remote,107,89258,11,1.98,0,0,1,1
386,34,Finance,Onsite,152,41805,19,5.72,2,0,2,1
387,48,Engineering,Remote,132,73147,17,7.83,1,0,5,0
388,25,Finance,Onsite,37,104280,33,4.01,1,0,1,1
389,50,Sales,Onsite,132,136777,22,4.41,0,0,4,0
390,25,Sales,Onsite,77,127841,26,9.41,1,0,1,0
391,32,HR,Hybrid,89,154726,16,2.92,0,0,4,0
392,36,Finance,Remote,146,158359,20,1.93,3,0,4,0
393,46,HR,Remote,88,106215,30,4.09,2,0,4,0
394,46,HR,Remote,176,142909,2,7.71,0,1,5,0
395,41,Sales,Onsite,33,125365,16,6.63,1,1,4,0
396,59,HR,Hybrid,58,40985,25,4.74,2,2,5,0
397,56,Sales,Onsite,28,42391,22,9.68,2,0,1,1
398,53,Engineering,Remote,35,34861,5,7.61,2,0,4,0
399,50,Finance,Hybrid,125,64364,27,1.56,5,0,3,1
400,57,HR,Hybrid,138,112399,7,7.7,3,0,1,0
401,43,Sales,Hybrid,65,72923,7,1.22,3,0,3,1
402,30,Support,Remote,42,168991,18,6.85,5,0,3,0
403,25,HR,Hybrid,85,115818,28,2.89,1,1,2,0
404,56,Marketing,Hybrid,137,195912,22,7.27,0,0,5,0
405,54,Engineering,Onsite,111,101160,31,3.79,0,0,2,0
406,51,Engineering,Onsite,15,158165,9,8.86,6,2,5,0
407,30,Support,Hybrid,69,169248,26,4.03,1,1,2,1
408,39,Sales,Hybrid,105,63529,0,6.58,1,0,1,1
409,52,HR,Onsite,150,174013,28,3.57,2,0,3,0
410,21,Sales,Onsite,64,31669,2,9.25,2,1,1,1
411,25,Engineering,Onsite,41,147373,30,8.03,2,0,5,0
412,24,Sales,Remote,71,74859,10,3.19,3,1,3,1
413,36,Engineering,Remote,56,85786,21,9.54,3,1,3,0
414,44,Sales,Onsite,151,50323,17,4.21,1,0,5,0
415,36,Support,Hybrid,25,36021,34,6.87,1,1,1,1
416,22,Finance,Onsite,105,69807,5,7.69,3,2,3,1
417,48,Support,Remote,134,158305,2,1.21,1,0,1,0
418,52,Support,Hybrid,119,80355,4,9.63,1,0,1,0
419,47,Finance,Remote,162,143415,8,4.1,2,0,1,0
420,40,Finance,Hybrid,9,38711,27,2.71,4,0,3,0
421,44,HR,Remote,60,37904,18,8.66,2,1,4,0
422,32,HR,Hybrid,125,94033,27,7.33,0,4,2,1
423,55,Support,Hybrid,49,116478,26,1.78,4,2,5,0
424,53,Support,Hybrid,51,150035,12,2.05,4,1,1,0
425,53,Engineering,Hybrid,70,33093,20,7.44,2,0,3,0
426,57,Engineering,Remote,37,54918,26,1.67,1,0,5,0
427,32,HR,Remote,31,170466,5,9.25,6,0,4,0
428,23,Marketing,Hybrid,169,154501,10,7.67,3,0,4,0
429,21,Marketing,Hybrid,62,122510,16,4.02,0,0,3,0
430,53,HR,Remote,93,123708,6,4.27,2,1,1,0
431,30,Engineering,Hybrid,14,127819,29,5.56,2,0,4,0
432,49,Engineering,Hybrid,164,174352,20,4.25,2,3,4,0
433,33,Marketing,Hybrid,164,66303,0,8.05,3,0,4,0
