employee_id,department,current_level,tenure_in_role_months,avg_performance_rating_last_4q,goals_completed_pct,peer_review_score,training_hours_last_year,cross_team_projects,manager_recommendation,PromotionReady
86,Finance,Mid,38,4.13,92.4,6.74,70,0,0,1
87,HR,Junior,13,1.17,62.6,5.73,68,1,0,0
88,Finance,Senior,17,2.67,9.0,3.95,64,1,0,0
89,Finance,Senior,33,4.51,93.4,7.54,58,4,0,1
90,Marketing,Junior,35,4.89,5.3,5.38,11,0,0,1
91,Finance,Junior,47,4.25,52.0,6.93,68,2,0,1
92,HR,Senior,9,4.33,72.0,8.49,18,1,0,0
93,HR,Senior,40,2.22,85.5,5.65,12,0,0,0
94,Engineering,Mid,25,4.14,18.5,8.92,36,2,0,1
95,Finance,Mid,9,1.17,47.4,1.87,13,1,1,0
96,HR,Junior,25,1.47,72.4,9.46,19,1,0,0
97,Engineering,Mid,12,4.88,43.8,8.03,57,0,0,1
98,Support,Senior,15,1.84,79.7,8.92,59,2,0,1
99,Support,Junior,56,1.69,54.7,2.71,28,0,1,0
100,HR,Senior,19,1.1,76.4,1.12,18,0,0,0
101,Marketing,Junior,35,4.34,1.5,2.09,68,2,0,0
102,Support,Junior,21,4.51,15.5,4.09,21,0,1,0
103,HR,Junior,25,1.76,23.3,6.15,38,2,1,0
104,Marketing,Mid,56,2.77,94.7,7.93,78,2,1,1
105,Finance,Senior,29,4.4,18.4,8.97,65,1,0,1
106,Finance,Junior,17,1.83,58.5,8.41,68,3,1,0
107,Marketing,Mid,23,1.34,88.6,7.16,17,1,0,0
108,Engineering,Mid,7,3.33,94.1,5.88,24,0,1,0
109,Marketing,Junior,27,1.44,85.1,1.14,39,0,0,0
110,Marketing,Junior,12,1.03,12.5,2.58,79,2,0,0
111,Finance,Senior,53,4.11,82.0,9.5,34,0,1,1
112,HR,Junior,52,3.94,25.4,3.33,58,1,1,0
113,Sales,Mid,23,1.42,52.9,4.47,33,1,0,0
114,Support,Junior,19,4.63,55.6,1.43,0,1,1,0
115,Marketing,Mid,32,2.72,73.6,3.05,79,0,1,0
116,Finance,Junior,2,4.16,88.5,5.84,60,0,1,1
117,Finance,Junior,9,2.01,69.9,6.27,47,0,0,0
118,Sales,Senior,58,4.04,54.2,9.44,29,1,0,1
119,Sales,Senior,18,2.2,18.5,3.96,68,1,0,0
120,Marketing,Mid,14,2.37,60.9,2.88,12,3,1,0
121,Support,Senior,10,3.87,93.3,6.64,36,1,0,0
122,Engineering,Mid,18,4.23,9.6,5.56,46,0,1,0
123,Finance,Junior,31,4.57,91.8,3.22,10,3,1,0
124,Support,Senior,2,3.64,52.1,5.64,1,2,1,0
125,Finance,Mid,41,3.01,2.5,5.39,70,1,0,0
126,Engineering,Senior,15,4.23,12.4,9.59,60,2,1,1
127,Support,Mid,22,2.12,74.5,4.01,56,1,1,0
128,HR,Junior,13,2.0,68.5,3.04,70,0,0,0
129,Support,Senior,13,3.39,58.1,9.55,15,0,0,0
130,Finance,Mid,42,4.46,60.0,4.35,54,0,1,0
131,Sales,Junior,10,3.95,87.0,2.94,35,0,1,0
132,Marketing,Mid,5,3.42,81.6,5.64,10,3,0,0
133,Support,Senior,29,3.03,81.7,2.26,38,0,0,1
134,Sales,Mid,4,2.2,64.7,5.54,22,2,0,0
135,Marketing,Mid,51,1.97,33.9,1.9,74,0,1,0
136,Sales,Junior,32,1.65,37.4,5.41,74,2,0,0
137,Finance,Junior,49,4.78,55.8,8.66,39,0,0,1
138,Sales,Senior,30,2.83,92.5,6.31,9,4,1,1
139,Engineering,Junior,43,2.29,49.4,2.34,70,1,0,0
140,Finance,Mid,50,3.15,65.5,4.27,60,2,1,1
141,Marketing,Junior,42,4.09,88.7,4.08,59,1,0,1
142,Sales,Junior,20,2.32,0.8,8.59,68,0,1,0
143,Marketing,Mid,37,3.36,13.9,1.19,14,0,0,0
144,Finance,Senior,58,2.18,6.0,4.71,54,2,0,1
145,HR,Senior,19,4.24,55.0,9.51,17,2,0,1
146,Finance,Junior,11,4.54,26.9,2.9,43,0,0,0
147,Sales,Senior,4,1.23,38.9,9.35,30,1,1,0
148,HR,Senior,33,4.43,22.6,3.54,50,2,0,0
149,Engineering,Junior,41,1.67,5.3,9.1,77,0,0,0
150,Sales,Mid,38,1.56,51.5,6.22,6,2,0,0
151,Marketing,Senior,36,1.26,85.1,8.96,16,4,0,0
152,Marketing,Junior,42,3.66,33.1,5.93,11,2,0,0
153,HR,Senior,36,3.1,52.6,1.49,32,2,1,0
154,Finance,Junior,10,2.73,37.6,5.53,37,1,1,0
155,Engineering,Senior,30,1.97,21.6,6.71,67,1,1,0
156,HR,Senior,6,1.26,48.7,3.74,72,0,0,0
157,Sales,Mid,1,1.01,42.4,3.6,73,0,0,0
158,Finance,Senior,42,3.35,7.5,5.88,71,1,0,1
159,Finance,Senior,6,3.13,16.6,5.43,35,1,0,0
160,Marketing,Mid,36,2.55,62.8,9.98,9,1,1,1
161,Finance,Senior,10,4.56,37.3,7.25,36,1,0,1
162,Marketing,Senior,40,2.41,93.4,1.27,49,1,1,0
163,Support,Senior,39,3.56,50.8,9.02,4,0,0,0
164,Sales,Junior,40,1.17,7.3,6.5,70,2,0,0
165,HR,Junior,42,3.76,52.8,4.59,61,0,0,0
166,HR,Senior,16,4.69,18.4,4.94,64,0,1,1
167,Support,Senior,11,4.51,71.7,8.74,20,0,0,0
168,Finance,Mid,7,3.37,68.4,2.05,54,3,0,0
169,Engineering,Senior,25,3.62,93.6,5.55,69,2,1,1
170,Marketing,Junior,17,1.51,32.7,7.06,79,2,1,1
171,HR,Junior,16,4.47,44.5,6.91,62,0,0,0
172,Marketing,Senior,28,1.79,20.5,5.57,23,2,0,0
173,Engineering,Senior,40,3.55,77.9,3.35,5,1,1,0
174,Marketing,Mid,34,2.71,58.2,9.97,17,2,0,1
175,Sales,Junior,43,4.39,77.1,8.87,24,3,1,1
176,Marketing,Senior,47,1.15,38.6,1.88,3,0,0,0
177,Engineering,Mid,22,3.35,55.8,2.23,24,2,1,1
178,Finance,Junior,45,2.9,37.6,6.69,75,0,0,1
179,HR,Senior,37,2.28,32.8,3.49,26,2,0,0
180,Marketing,Junior,30,3.25,31.7,8.08,26,0,0,0
181,Sales,Mid,43,3.55,66.4,7.4,62,1,0,1
182,Support,Senior,14,3.84,33.3,9.42,31,1,0,1
183,Engineering,Senior,43,1.16,97.5,9.58,14,0,0,0
184,Support,Mid,10,4.44,14.2,9.94,29,1,1,1
185,Engineering,Junior,2,3.64,70.3,5.45,4,3,0,0
186,Support,Mid,9,1.14,73.6,1.3,33,0,0,0
187,Sales,Mid,35,3.63,33.0,6.41,32,2,1,1
188,Sales,Senior,42,3.06,50.8,2.74,7,0,0,0
189,Marketing,Junior,52,2.18,3.9,3.73,49,0,0,0
190,Marketing,Mid,5,4.16,31.9,6.9,78,0,0,1
191,HR,Junior,45,4.46,61.0,1.81,67,0,1,0
192,Sales,Mid,39,4.88,65.6,4.74,18,1,1,0
193,Engineering,Senior,36,4.49,90.4,2.57,74,0,0,1
194,Engineering,Junior,12,2.61,62.0,2.87,45,0,1,0
195,Sales,Junior,53,2.24,83.6,2.57,55,0,0,0
196,Sales,Senior,24,1.84,97.6,5.77,62,2,1,0
197,Sales,Junior,59,3.64,83.6,7.09,66,2,0,1
198,Marketing,Junior,54,2.34,44.7,7.47,54,2,0,1
199,HR,Mid,18,2.12,64.6,6.05,22,1,1,1
200,Support,Junior,9,4.7,10.8,9.51,35,2,0,0
201,Engineering,Mid,38,1.17,52.6,4.86,42,1,0,0
202,Marketing,Senior,5,2.4,47.7,8.95,48,1,1,1
203,Support,Senior,2,2.74,37.2,3.52,16,1,0,0
204,Support,Senior,11,1.82,36.5,4.13,14,2,0,0
205,Finance,Senior,28,2.18,14.7,8.47,8,2,0,0
206,Support,Senior,22,2.57,1.9,3.79,67,2,0,0
207,HR,Mid,38,4.0,49.8,8.03,11,1,1,0
208,Finance,Junior,9,1.29,55.3,6.75,5,1,0,0
209,Engineering,Senior,2,1.45,92.4,5.06,30,1,0,0
210,Sales,Junior,31,2.62,77.4,4.48,79,0,1,0
211,Finance,Senior,30,4.16,68.3,3.24,50,1,0,1
212,Sales,Mid,21,1.13,63.2,7.51,67,0,0,0
213,Finance,Junior,39,2.34,80.0,3.13,16,0,1,0
214,HR,Junior,55,1.88,77.2,3.49,31,0,1,0
215,Support,Junior,54,3.0,32.7,6.33,2,1,1,1
216,Finance,Senior,41,2.53,87.6,7.47,13,3,0,0
217,Sales,Junior,44,2.09,87.8,3.83,35,1,0,0
218,Engineering,Senior,2,1.25,34.7,2.6,27,0,1,0
219,Support,Mid,11,1.64,90.6,4.27,22,0,0,0
220,Finance,Junior,58,3.46,5.2,8.61,19,1,1,0
221,Engineering,Senior,28,3.4,45.1,5.42,39,2,0,1
222,Engineering,Junior,42,3.76,22.2,9.27,8,1,1,1
223,Finance,Junior,47,1.28,17.4,3.24,13,1,0,0
224,Sales,Mid,50,1.03,21.9,1.81,33,2,0,0
225,Engineering,Junior,32,3.48,0.5,7.72,15,2,0,0
226,Support,Junior,15,1.71,85.8,8.95,31,0,1,1
227,Engineering,Junior,41,4.0,62.2,3.5,66,1,0,0
228,HR,Mid,55,3.31,40.3,4.89,65,0,0,1
229,Marketing,Senior,39,2.06,29.5,5.31,73,0,0,0
230,Marketing,Junior,42,2.73,86.1,1.38,38,2,0,0
231,Engineering,Mid,59,2.7,4.3,7.11,42,1,1,1
232,Sales,Senior,46,1.98,14.0,2.68,50,3,0,0
233,HR,Senior,34,4.41,60.5,6.71,15,1,0,0
234,Support,Junior,55,1.01,25.1,2.59,20,1,1,0
235,Engineering,Mid,7,1.98,3.2,9.42,1,1,0,0
236,Engineering,Senior,34,1.8,2.0,1.07,75,2,0,0
237,Finance,Senior,30,4.65,92.1,6.54,36,3,1,1
238,Marketing,Junior,32,4.21,0.9,4.84,22,1,1,0
239,Finance,Senior,23,4.18,86.8,7.93,51,0,0,1
240,HR,Mid,11,4.3,79.8,1.94,63,1,1,1
241,Marketing,Junior,22,1.66,85.3,2.81,22,1,0,0
242,Sales,Senior,32,4.48,42.1,6.61,12,0,1,1
243,Marketing,Mid,18,2.57,10.5,1.19,61,0,1,0
244,Support,Junior,32,2.02,93.6,1.48,6,1,0,1
245,Finance,Mid,46,1.72,2.8,3.45,1,1,0,0
246,Engineering,Junior,9,2.13,67.5,4.28,57,2,0,0
247,Finance,Junior,24,3.16,33.4,6.86,60,0,0,0
248,Support,Senior,20,2.41,54.4,1.94,43,2,1,1
249,Support,Mid,12,3.73,42.9,1.42,12,2,0,0
250,Engineering,Mid,18,1.03,46.6,7.9,68,1,0,0
251,Marketing,Senior,10,2.84,78.3,2.69,22,1,1,0
252,HR,Junior,48,2.63,38.0,8.47,60,2,0,1
253,Sales,Mid,3,1.74,61.5,3.65,31,1,0,0
254,Marketing,Mid,57,4.38,65.0,4.92,32,0,1,1
255,Engineering,Junior,42,2.07,44.7,9.86,40,1,0,0
256,HR,Mid,37,2.48,57.4,1.81,71,3,0,1
257,Sales,Mid,38,3.01,3.9,1.44,70,2,1,0
258,Support,Junior,30,1.8,15.1,2.74,19,4,1,0
259,Engineering,Mid,50,3.5,36.2,5.22,51,2,0,0
260,Sales,Mid,14,1.47,91.5,6.78,71,0,1,0
261,HR,Senior,48,2.06,29.2,7.42,0,0,1,0
262,HR,Senior,26,1.66,44.0,4.7,9,3,0,0
263,Finance,Senior,48,4.99,0.0,1.25,50,0,1,1
264,Marketing,Mid,51,2.85,59.0,3.88,59,2,1,0
265,HR,Senior,17,1.29,7.9,9.8,77,1,1,0
266,Sales,Junior,8,3.61,5.3,8.7,13,1,0,0
267,Marketing,Mid,10,3.4,60.4,9.55,22,2,0,1
268,Finance,Mid,7,2.15,83.3,6.57,53,0,0,0
269,HR,Mid,6,1.13,90.4,6.76,66,2,0,1
270,Finance,Senior,2,1.54,65.0,3.7,17,0,1,0
271,Engineering,Mid,38,2.98,42.3,9.1,55,1,0,0
272,Sales,Mid,24,1.92,31.6,6.15,30,1,0,0
273,Support,Junior,31,3.48,98.4,3.34,18,0,0,0
274,Support,Senior,36,4.42,73.8,5.29,53,1,1,1
275,Engineering,Mid,43,2.83,64.0,6.48,71,3,1,0
276,Finance,Junior,20,1.39,1.8,4.99,60,0,1,0
277,HR,Senior,2,4.37,10.4,2.41,71,1,0,0
278,Sales,Senior,17,1.19,36.3,8.68,72,0,0,0
279,Engineering,Mid,24,2.57,55.3,7.24,10,1,1,1
280,Finance,Junior,4,2.48,73.2,6.31,46,0,0,0
281,Sales,Mid,23,3.53,59.1,9.78,71,1,0,1
282,Engineering,Mid,56,4.27,60.4,9.94,35,0,0,1
283,Marketing,Senior,37,1.41,34.9,9.83,44,1,1,0
284,Support,Junior,40,2.81,41.4,1.37,20,0,1,0
285,Finance,Junior,29,1.7,29.8,9.53,40,1,0,0
286,Finance,Mid,49,3.75,11.0,3.84,62,0,1,1
287,Finance,Junior,3,4.54,40.8,6.88,54,1,1,1
288,Finance,Senior,58,2.25,35.0,9.99,77,1,1,1
289,HR,Mid,46,3.82,23.2,8.91,17,0,0,1
290,Sales,Mid,20,3.14,42.6,2.55,68,1,0,0
291,Support,Mid,43,4.32,28.4,5.33,17,3,0,1
292,Engineering,Senior,23,4.56,16.9,1.83,25,0,1,0
293,Marketing,Mid,43,2.69,58.1,1.17,66,0,1,0
294,Support,Senior,32,1.18,91.8,9.04,63,0,0,0
295,Sales,Junior,54,1.33,77.5,4.85,3,0,0,0
296,Support,Senior,48,3.11,70.6,4.22,46,2,1,1
297,Marketing,Junior,13,2.94,30.4,9.09,41,3,1,0
298,Marketing,Junior,25,1.05,93.8,5.44,35,1,0,0
299,Marketing,Mid,20,1.37,77.7,9.85,36,0,0,0
300,Marketing,Mid,59,3.24,45.4,2.3,37,1,1,1
301,Engineering,Mid,40,2.33,13.9,5.93,68,1,1,0
302,Support,Junior,37,2.43,60.0,4.19,13,1,0,0
303,Finance,Senior,19,3.96,18.0,1.05,55,0,1,0
304,Marketing,Mid,9,4.45,32.5,8.27,47,0,0,0
305,Support,Mid,4,3.7,98.8,4.91,30,1,0,0
306,Finance,Junior,3,3.79,56.3,5.36,67,1,0,1
307,Engineering,Mid,2,3.72,19.4,8.99,53,2,1,1
308,Marketing,Junior,27,3.17,31.3,1.61,55,0,1,0
309,HR,Senior,52,1.45,83.8,6.67,10,0,0,0
310,HR,Junior,40,2.78,7.6,8.36,36,2,0,0
311,Engineering,Senior,35,2.88,25.9,5.82,73,1,0,0
312,Finance,Mid,59,3.5,25.6,9.54,51,0,0,1
313,Marketing,Mid,24,4.58,23.2,1.8,42,0,1,0
314,Engineering,Mid,35,2.27,39.6,7.64,5,0,0,0
315,Marketing,Junior,52,1.49,85.0,8.77,77,1,1,0
316,Sales,Senior,54,1.51,67.9,2.54,22,1,0,0
317,Finance,Mid,37,1.67,91.5,2.94,4,1,0,0
318,Support,Senior,45,4.81,48.9,5.49,5,1,1,0
319,Marketing,Mid,10,2.08,74.4,5.0,2,1,1,0
320,Sales,Senior,58,3.17,65.3,6.73,54,3,0,1
321,Sales,Junior,5,3.76,29.0,8.02,12,2,0,0
322,HR,Mid,34,3.33,99.8,5.13,77,1,1,1
323,Finance,Junior,7,1.7,78.6,1.88,18,0,1,0
324,Engineering,Junior,9,2.97,2.6,3.24,10,2,1,0
325,HR,Senior,16,4.7,96.5,2.58,27,0,1,0
326,Marketing,Mid,17,2.9,37.2,6.97,18,1,0,1
327,Finance,Junior,22,1.94,49.4,7.58,1,0,0,0
328,Engineering,Senior,13,2.5,26.9,5.28,20,1,1,0
329,Finance,Senior,55,1.65,26.0,8.58,52,1,1,1
330,Sales,Mid,35,2.13,73.4,4.48,16,2,0,0
331,Marketing,Mid,50,4.1,7.8,6.58,60,1,1,1
332,Support,Junior,48,3.06,84.8,9.82,25,1,0,1
333,HR,Senior,59,1.65,3.4,6.97,65,1,0,1
334,HR,Junior,6,1.46,7.8,5.3,31,1,0,0
335,Finance,Senior,49,1.46,13.7,8.72,51,0,1,0
336,Engineering,Mid,25,3.74,36.7,2.37,35,1,0,0
337,Marketing,Senior,15,1.02,36.2,7.01,14,1,1,0
338,HR,Senior,44,4.84,66.0,8.5,53,1,0,1
339,Marketing,Senior,57,2.11,62.6,7.21,35,2,1,0
340,Marketing,Mid,29,4.18,55.8,3.23,40,1,0,0
341,Marketing,Senior,33,3.94,17.4,1.91,26,2,0,0
342,HR,Mid,31,2.16,24.6,5.76,48,1,0,1
343,Marketing,Senior,28,1.51,72.7,2.81,64,2,1,0
344,Support,Mid,38,1.79,70.1,7.95,23,0,0,0
345,HR,Mid,22,3.03,90.1,3.17,0,0,0,0
346,Sales,Junior,46,2.92,42.0,6.42,76,1,0,1
347,Sales,Mid,41,1.33,75.7,9.36,58,1,0,1
348,Engineering,Senior,44,3.31,65.4,7.8,44,1,0,1
349,Finance,Junior,42,4.96,29.2,5.26,79,2,1,1
350,Support,Senior,25,2.19,33.9,7.72,40,0,1,0
351,Support,Mid,35,2.86,83.0,5.78,26,0,1,1
352,HR,Senior,51,3.46,70.2,9.67,14,1,0,1
353,HR,Junior,21,1.75,78.2,6.79,31,1,0,1
354,Sales,Senior,49,3.54,92.2,3.02,39,4,0,1
355,Support,Mid,21,3.61,51.2,1.73,46,0,1,1
356,Engineering,Junior,49,3.02,30.6,3.34,12,1,0,0
357,Engineering,Junior,50,1.37,59.3,3.62,45,0,0,1
358,Marketing,Junior,40,1.92,61.7,2.3,29,2,0,0
359,Engineering,Junior,17,4.52,10.2,9.0,17,1,1,1
360,Finance,Senior,17,1.92,18.6,6.04,52,4,1,0
361,Sales,Junior,49,3.23,87.3,4.7,68,0,0,0
362,Support,Senior,27,3.3,65.7,9.11,6,1,0,1
363,HR,Mid,24,4.68,51.5,2.02,15,0,0,0
364,Finance,Senior,55,4.56,55.6,4.58,79,1,1,1
365,Engineering,Junior,13,1.94,69.5,4.97,26,2,1,0
366,Support,Senior,41,3.01,37.4,1.8,23,0,0,0
367,Sales,Senior,52,2.32,95.3,7.33,8,0,0,0
368,HR,Senior,3,2.17,12.2,4.23,41,1,1,0
369,Sales,Junior,1,2.7,22.9,4.76,33,4,0,0
370,Marketing,Junior,5,1.49,55.2,3.18,20,0,0,0
371,Marketing,Junior,35,4.75,19.3,3.96,5,5,0,1
372,Engineering,Senior,12,1.66,24.7,1.47,25,2,1,0
373,Sales,Mid,25,3.7,76.4,8.27,55,1,1,1
374,HR,Mid,59,2.19,91.3,8.98,36,0,1,0
375,HR,Junior,59,3.62,45.8,7.69,25,1,0,0
376,HR,Senior,18,4.32,12.6,2.24,11,2,1,0
377,Support,Mid,42,1.65,12.9,1.89,44,3,0,0
378,Finance,Senior,58,4.83,47.2,1.56,68,2,1,1
379,Support,Senior,41,3.84,6.8,6.87,75,3,1,1
380,Engineering,Mid,47,4.92,77.7,7.38,31,2,1,1
381,Support,Senior,18,2.92,57.1,3.03,70,1,1,1
382,Finance,Senior,9,3.19,60.2,5.89,63,2,0,0
383,Sales,Junior,35,4.66,3.5,3.11,6,1,0,0
384,Engineering,Junior,52,1.17,44.9,5.19,58,2,0,1
385,Support,Mid,30,2.89,90.0,2.56,55,2,0,0
386,Engineering,Junior,5,1.39,86.5,3.86,16,1,1,0
387,Support,Mid,18,1.85,63.1,3.25,71,2,0,0
388,Marketing,Junior,36,3.05,37.7,5.11,47,0,0,1
389,Support,Mid,28,4.26,43.7,8.76,5,2,0,0
390,Finance,Senior,40,1.73,53.7,3.64,55,2,1,0
391,HR,Mid,57,3.2,17.1,1.34,7,0,1,0
392,Sales,Mid,22,3.51,68.8,6.81,54,0,1,1
393,Finance,Junior,13,2.94,64.5,8.2,18,1,1,1
394,Marketing,Junior,12,2.76,22.1,8.66,8,1,0,0
395,Finance,Junior,17,4.11,1.7,3.06,65,0,0,0
396,Marketing,Senior,52,3.92,3.8,7.28,17,0,0,0
397,Sales,Senior,31,2.73,89.7,3.16,0,3,0,0
398,Sales,Senior,28,1.99,55.5,5.1,28,4,0,0
399,Sales,Mid,16,3.87,64.9,5.37,28,3,1,0
400,Finance,Mid,7,2.57,96.2,5.39,20,2,1,1
401,Engineering,Mid,12,4.47,38.7,9.06,54,2,1,1
402,Finance,Senior,17,3.1,67.0,5.26,50,2,0,0
403,Support,Mid,6,1.58,99.1,3.07,8,1,1,0
404,Finance,Senior,3,3.7,43.9,2.29,66,0,0,0
405,Marketing,Junior,46,2.87,59.2,8.09,12,1,0,0
406,HR,Junior,29,1.74,99.1,8.73,40,2,0,1
407,HR,Mid,1,4.82,45.0,2.36,70,1,1,1
408,Marketing,Senior,19,1.59,26.9,6.54,39,0,0,0
409,Support,Mid,27,1.72,74.5,5.71,69,0,1,0
410,Finance,Junior,53,3.66,3.8,8.67,26,2,0,0
411,HR,Junior,29,2.35,37.9,6.76,31,1,0,0
412,Support,Mid,41,1.64,25.1,7.05,65,0,0,0
413,Finance,Senior,41,1.1,88.6,1.87,22,0,0,0
414,Marketing,Junior,9,3.22,13.5,1.71,32,1,0,0
415,Sales,Mid,39,4.66,14.3,8.63,35,3,1,0
416,Marketing,Junior,59,4.88,92.7,5.99,72,1,0,1
417,Engineering,Senior,59,3.36,57.8,8.67,27,0,0,1
418,HR,Senior,12,2.84,60.3,7.84,36,1,0,0
419,Support,Mid,33,3.5,56.8,9.61,8,1,1,0
420,Marketing,Mid,59,3.85,13.0,6.12,27,2,0,0
421,Support,Mid,18,3.2,83.8,3.88,63,1,1,0
422,Engineering,Senior,27,1.35,20.6,7.19,27,1,0,0
423,Sales,Mid,54,4.81,90.2,9.89,49,3,1,1
424,HR,Junior,16,3.16,90.6,7.92,36,0,0,0
425,Support,Junior,33,1.38,13.0,8.99,6,0,1,0
426,Support,Senior,36,1.4,3.8,1.69,33,0,1,0
427,Support,Senior,18,1.13,0.7,5.58,42,2,1,0
428,Finance,Senior,16,2.83,66.4,6.57,26,1,1,0
429,HR,Mid,39,1.47,64.5,3.56,19,0,0,0
430,Finance,Mid,12,4.33,7.3,6.75,69,2,1,1
431,Engineering,Mid,13,2.55,52.5,4.93,11,0,0,0
432,Support,Junior,8,1.72,60.9,9.7,50,0,0,0
